"S. No.,DISTRICT NAME"
"1,ARARIA"
"2,ARWAL"
"3,AURANGABAD"
"4,BANKA"
"5,BEGUSARAI"
"6,BHABUA"
"7,BHAGALPUR"
"8,BHOJPUR"
"9,BUXAR"
"10,DARBHANGA"
"11,EAST CHAMPARAN"
"12,GAYA"
"13,GOPALGANJ"
"14,JAHANABAD"
"15,JAMUI"
"16,KATIHAR"
"17,KHAGARIA"
"18,KISHANGANJ"
"19,LAKHISARAI"
"20,MADHEPURA"
"21,MADHUBANI"
"22,MONGHYR"
"23,MUZAFFARPUR"
"24,NALANDA"
"25,NAWADA"
"26,PATNA"
"27,PURNEA"
"28,ROHTAS"
"29,SAHARSA"
"30,SAMASTIPUR"
"31,SARAN"
"32,SHEIKHPURA"
"33,SHEOHAR"
"34,SITAMARHI"
"35,SIWAN"
"36,SUPAUL"
"37,VAISHALI"
"38,WEST CHAMPARAN"
